Runs,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date
1,13,0,0,7.69,3,caught,2,ODI , Australia,Sydney,26-Mar-15
14,22,2,0,63.63,4,bowled,1,Test , Bangladesh,Fatullah,10-Jun-15
1,4,0,0,25,3,caught,2,ODI , Bangladesh,Mirpur,18-Jun-15
23,27,3,1,85.18,3,lbw,1,ODI , Bangladesh,Mirpur,21-Jun-15
25,35,1,0,71.42,3,bowled,1,ODI , Bangladesh,Mirpur,24-Jun-15
103,191,11,0,53.92,4,lbw,2,Test , Sri Lanka,Galle,12-Aug-15
3,10,0,0,30,5,caught,4,Test , Sri Lanka,Galle,12-Aug-15
78,107,8,1,72.89,4,caught,1,Test , Sri Lanka,Colombo (PSS),20-Aug-15
10,19,0,0,52.63,4,lbw,3,Test , Sri Lanka,Colombo (PSS),20-Aug-15
18,60,3,0,30,4,caught,1,Test , Sri Lanka,Colombo (SSC),28-Aug-15
21,63,2,0,33.33,4,caught,3,Test , Sri Lanka,Colombo (SSC),28-Aug-15
43,27,1,3,159.25,3,caught,1,T20I , South Africa,Dharamsala,02-Oct-15
1,1,0,0,100,3,run out,1,T20I , South Africa,Cuttack,05-Oct-15
11,18,0,0,61.11,4,caught,2,ODI , South Africa,Kanpur,11-Oct-15
12,18,0,0,66.66,4,run out,1,ODI , South Africa,Indore,14-Oct-15
77,99,5,0,77.77,3,caught,2,ODI , South Africa,Rajkot,18-Oct-15
138,140,6,5,98.57,3,caught,1,ODI , South Africa,Chennai,22-Oct-15
7,6,0,1,116.66,3,caught,2,ODI , South Africa,Wankhede,25-Oct-15
1,4,0,0,25,4,caught,1,Test , South Africa,Mohali,05-Nov-15
29,71,4,0,40.84,4,caught,3,Test , South Africa,Mohali,05-Nov-15
22,55,2,0,40,4,caught,1,Test , South Africa,Nagpur,25-Nov-15
16,30,2,0,53.33,4,caught,3,Test , South Africa,Nagpur,25-Nov-15
44,62,7,0,70.96,4,caught,1,Test , South Africa,Delhi,03-Dec-15
88,165,10,0,53.33,5,lbw,3,Test , South Africa,Delhi,03-Dec-15
91,97,9,1,93.81,3,caught,1,ODI , Australia,W.A.C.A,12-Jan-16
59,67,4,0,88.05,3,run out,1,ODI , Australia,Brisbane,15-Jan-16
117,117,7,2,100,3,caught,1,ODI , Australia,Melbourne,17-Jan-16
106,92,11,1,115.21,3,caught,2,ODI , Australia,Canberra,20-Jan-16
8,11,1,0,72.72,3,caught,2,ODI , Australia,Sydney,23-Jan-16
90,55,9,2,163.63,3,not out,1,T20I , Australia,Adelaide,26-Jan-16
59,33,7,1,178.78,3,not out,1,T20I , Australia,Melbourne,29-Jan-16
50,36,2,1,138.88,3,bowled,2,T20I , Australia,Sydney,31-Jan-16
7,12,1,0,58.33,3,caught,1,T20I , Bangladesh,Mirpur,24-Feb-16
49,51,7,0,96.07,3,lbw,2,T20I , Pakistan,Mirpur,27-Feb-16
56,47,7,0,119.14,3,not out,2,T20I , Sri Lanka,Mirpur,01-Mar-16
41,28,5,0,146.42,3,not out,2,T20I , Bangladesh,Mirpur,06-Mar-16
23,27,2,0,85.18,3,caught,2,T20I , New Zealand,Nagpur,15-Mar-16
55,37,7,1,148.64,3,not out,2,T20I , Pakistan,Eden Gardens,19-Mar-16
24,24,0,1,100,3,bowled,1,T20I , Bangladesh,Bengaluru,23-Mar-16
82,51,9,2,160.78,3,not out,2,T20I , Australia,Mohali,27-Mar-16
89,47,11,1,189.36,3,not out,1,T20I , West Indies,Wankhede,31-Mar-16
200,283,24,0,70.67,4,bowled,1,Test , West Indies,North Sound,21-Jul-16
44,90,4,1,48.88,4,caught,2,Test , West Indies,Kingston,30-Jul-16
3,8,0,0,37.5,3,caught,1,Test , West Indies,Gros Islet,09-Aug-16
4,17,0,0,23.52,3,lbw,3,Test , West Indies,Gros Islet,09-Aug-16
16,9,3,0,177.77,3,caught,2,T20I , West Indies,Lauderhill,27-Aug-16
9,10,2,0,90,4,caught,1,Test , New Zealand,Kanpur,22-Sep-16
18,40,3,0,45,4,caught,3,Test , New Zealand,Kanpur,22-Sep-16
9,28,1,0,32.14,4,caught,1,Test , New Zealand,Eden Gardens,30-Sep-16
45,65,7,0,69.23,4,lbw,3,Test , New Zealand,Eden Gardens,30-Sep-16
211,366,20,0,57.65,4,lbw,1,Test , New Zealand,Indore,08-Oct-16
17,28,1,0,60.71,4,lbw,3,Test , New Zealand,Indore,08-Oct-16
85,81,9,1,104.93,3,not out,2,ODI , New Zealand,Dharamsala,16-Oct-16
9,13,1,0,69.23,3,caught,2,ODI , New Zealand,Delhi,20-Oct-16
154,134,16,1,114.92,3,not out,2,ODI , New Zealand,Mohali,23-Oct-16
45,51,2,1,88.23,3,caught,2,ODI , New Zealand,Ranchi,26-Oct-16
65,76,2,1,85.52,3,caught,1,ODI , New Zealand,Visakhapatnam,29-Oct-16
40,95,5,0,42.1,4,hit wicket,2,Test , England,Rajkot,09-Nov-16
49,98,6,0,50,4,not out,4,Test , England,Rajkot,09-Nov-16
167,267,18,0,62.54,4,caught,1,Test , England,Visakhapatnam,17-Nov-16
81,109,8,0,74.31,4,caught,3,Test , England,Visakhapatnam,17-Nov-16
62,127,9,0,48.81,4,caught,2,Test , England,Mohali,26-Nov-16
6,11,0,0,54.54,4,not out,4,Test , England,Mohali,26-Nov-16
235,340,25,1,69.11,4,caught,2,Test , England,Wankhede,08-Dec-16
15,29,1,0,51.72,4,caught,2,Test , England,Chennai,16-Dec-16
122,105,8,5,116.19,3,caught,2,ODI , England,Pune,15-Jan-17
8,5,2,0,160,3,caught,1,ODI , England,Cuttack,19-Jan-17
55,63,8,0,87.3,3,caught,2,ODI , England,Eden Gardens,22-Jan-17
29,26,4,0,111.53,1,caught,1,T20I , England,Kanpur,26-Jan-17
21,15,2,1,140,1,caught,1,T20I , England,Nagpur,29-Jan-17
2,4,0,0,50,1,run out,1,T20I , England,Bengaluru,01-Feb-17
204,246,24,0,82.92,4,lbw,1,Test , Bangladesh,Hyderabad,09-Feb-17
38,40,2,1,95,4,caught,3,Test , Bangladesh,Hyderabad,09-Feb-17
0,2,0,0,0,4,caught,2,Test , Australia,Pune,23-Feb-17
13,37,1,0,35.13,4,bowled,4,Test , Australia,Pune,23-Feb-17
12,17,2,0,70.58,4,lbw,1,Test , Australia,Bengaluru,04-Mar-17
15,25,1,0,60,4,lbw,3,Test , Australia,Bengaluru,04-Mar-17
6,23,0,0,26.08,4,caught,2,Test , Australia,Ranchi,16-Mar-17
81,68,6,3,119.11,3,not out,1,ODI , Pakistan,Birmingham,04-Jun-17
0,5,0,0,0,3,caught,1,ODI , Sri Lanka,The Oval,08-Jun-17
76,101,7,1,75.24,3,not out,2,ODI , South Africa,The Oval,11-Jun-17
96,78,13,0,123.07,3,not out,2,ODI , Bangladesh,Birmingham,15-Jun-17
5,9,0,0,55.55,3,caught,2,ODI , Pakistan,The Oval,18-Jun-17
32,47,1,0,68.08,3,not out,1,ODI , West Indies,Port of Spain,23-Jun-17
87,66,4,4,131.81,3,caught,1,ODI , West Indies,Port of Spain,25-Jun-17
11,22,2,0,50,3,caught,1,ODI , West Indies,North Sound,30-Jun-17
3,12,0,0,25,3,caught,2,ODI , West Indies,North Sound,02-Jul-17
111,115,12,2,96.52,3,not out,2,ODI , West Indies,Kingston,06-Jul-17
39,22,7,1,177.27,1,caught,1,T20I , West Indies,Kingston,09-Jul-17
3,8,0,0,37.5,4,caught,1,Test , Sri Lanka,Galle,26-Jul-17
103,136,5,1,75.73,4,not out,3,Test , Sri Lanka,Galle,26-Jul-17
13,29,2,0,44.82,4,caught,1,Test , Sri Lanka,Colombo (SSC),03-Aug-17
42,84,3,0,50,4,caught,1,Test , Sri Lanka,Pallekele,12-Aug-17
82,70,10,1,117.14,3,not out,2,ODI , Sri Lanka,Dambulla,20-Aug-17
4,2,1,0,200,5,bowled,2,ODI , Sri Lanka,Pallekele,24-Aug-17
3,11,0,0,27.27,3,caught,2,ODI , Sri Lanka,Pallekele,27-Aug-17
